Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,NGBOURGES,2015-03-20,CENTRE COMMERCIAL AVARICUM 6 AVENUE DE PETERBOROUGH 18000 BOURGES,18000,BOURGES,18,,,,810784983,96.02A
Coiffure,ASSOCIATION SALON DE COIFURE SOLIDAIRE (SALON DE COIFFURE SOLIDAIRE) (SCS),2015-01-01,SHOPPING CENTER BAT B N 14 LE RAIZET 97139 LES ABYMES,97139,LES ABYMES,971,,,,828118133,96.02A
Coiffure,BARBER MEN (BARBER MEN),2014-12-09,CC AUCHAN RTE DE CARNON 34470 PEROLS,34470,PEROLS,34,,,,808858229,96.02A
Soins de beauté / esthétique,VIKTORIYA ISHCHENKO (VICTORIA COIFFURE),2014-12-01,9 RUE SAINTE-CECILE 57950 MONTIGNY-LES-METZ,57950,MONTIGNY-LES-METZ,57,,,,807589114,96.02B
"Entretien corporel (spa, hammam...)",MEISO (MEISO),2014-12-01,51 BOULEVARD DE LA CHAPELLE 75010 PARIS,75010,PARIS,75,,,,808450449,96.04Z
Coiffure,LMBP (LES MAITRES BARBIERS PERRUQUIERS),2014-11-01,3 RUE DES APENNINS 75017 PARIS,75017,PARIS,75,,,,807416524,96.02A
"Entretien corporel (spa, hammam...)",ADELINE HELENE GUERIN (UJEVIC),2014-10-01,206 ROUTE DE CHAMP FARCON 74370 ARGONAY,74370,ARGONAY,74,,,,805049095,96.04Z
"Entretien corporel (spa, hammam...)",ACTIVIUM,2014-09-17,13 QUAI DU COMMERCE 69009 LYON,69009,LYON,69,,,,804975472,96.04Z
"Entretien corporel (spa, hammam...)",NICOLAS ZOLENDZEWSKI,2014-06-01,75 BOULEVARD KELLERMANN 75013 PARIS,75013,PARIS,75,,,,802588277,96.04Z
"Entretien corporel (spa, hammam...)",MILA EVENTS (COMME UN POISSON DANS L'O),2014-05-18,11 BD CAPITAINE ESPINADEL 34350 VALRAS-PLAGE,34350,VALRAS-PLAGE,34,,,,803337203,96.04Z
Soins de beauté / esthétique,MOI JE,2014-05-16,14 RUE FRANCOIS GUISOL 06300 NICE,06300,NICE,06,,,,802440339,96.02B
Soins de beauté / esthétique,LAETITIA JACINTO (ROLLAND),2014-02-05,35 B AVENUE FOCH 57730 FOLSCHVILLER,57730,FOLSCHVILLER,57,,,,800158156,96.02B
Coiffure,ALP,2013-12-10,63 RUE D’ANJOU 78000 VERSAILLES,78000,VERSAILLES,78,,,,799023163,96.02A
Soins de beauté / esthétique,RUN NAIL,2013-10-21,55 RUE DES NAVIGATEURS 97434 SAINT-PAUL,97434,SAINT-PAUL,974,,,,798554929,96.02B
Soins de beauté / esthétique,FRANCE BEAUTE INSTITUT,2013-10-01,47 RUE CHAUSSADE 43260 SAINT-JULIEN-CHAPTEUIL,43260,SAINT-JULIEN-CHAPTEUIL,43,,,,798015608,96.02B
Coiffure,FINANCIERE LUCIE,2013-09-10,4 AVENUE PIERRE IER DE SERBIE 75116 PARIS,75116,PARIS,75,,,,795308436,96.02A
"Entretien corporel (spa, hammam...)",MGVH,2013-09-06,19 RUE DE WOLFISHEIM 67810 HOLTZHEIM,67810,HOLTZHEIM,67,,,,795313303,96.04Z
"Entretien corporel (spa, hammam...)",SYLVIE NEDELEC (L'ALBIZIA),2013-09-01,8 CHEMIN DE FRANCOY 64160 MORLAAS,64160,MORLAAS,64,,,,795044254,96.04Z
Soins de beauté / esthétique,JENNIFER TOLY (TOMBO),2013-06-01,27 RUE DU CINEMA ALPAJOE 97600 MAMOUDZOU,97600,MAMOUDZOU,976,,,,793251448,96.02B
Soins de beauté / esthétique,LAURE ESTHETIQUE,2013-04-29,55 RTE 820 31790 SAINT-JORY,31790,SAINT-JORY,31,,,,793046806,96.02B
Coiffure,FABIEN GARDES (BRODA BARBERSHOP),2013-04-12,93 RUE DE LA REPUBLIQUE 31330 GRENADE,31330,GRENADE,31,,,,791748205,96.02A
"Entretien corporel (spa, hammam...)",SEVERINE LECOCQ,2013-04-03,48 BOULEVARD DE LA LIBERTE 59800 LILLE,59800,LILLE,59,,,,792218091,96.04Z
Soins de beauté / esthétique,ADS LES ATELIERS,2013-02-22,87 RUE REAUMUR 75002 PARIS,75002,PARIS,75,,,,792129140,96.02B
Coiffure,ISIA SALONS,2012-11-21,104 AVENUE CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE,92200,NEUILLY-SUR-SEINE,92,,,,789531308,96.02A
Coiffure,MOURAD EL YAACOUBI,2012-10-15,10 B AVENUE DE LA LIBERATION 04200 SISTERON,04200,SISTERON,04,,,,788842359,96.02A
Soins de beauté / esthétique,EDC SPA MANAGEMENT,2012-09-06,805 RUE DE ROCHE COLOMBE 26800 ETOILE-SUR-RHONE,26800,ETOILE-SUR-RHONE,26,,,,753642560,96.02B
"Entretien corporel (spa, hammam...)",SNOW PARIS,2012-07-25,VALLEE DE CHAMONIX-MONT-BLANC 1000 ROUTE DES CHAVANTS 74310 LES HOUCHES,74310,LES HOUCHES,74,,,,753310556,96.04Z
"Entretien corporel (spa, hammam...)",SARL AQUA MOOD (ATELIER MOOD),2012-07-12,9 RUE D'ABOUKIR 75002 PARIS,75002,PARIS,75,,,,752697110,96.04Z
Soins de beauté / esthétique,ADS ED,2012-05-09,43 BOULEVARD LAZARE CARNOT 31000 TOULOUSE,31000,TOULOUSE,31,,,,751484858,96.02B
Coiffure,STAR MAX,2012-04-04,14 RUE DES ORFEVRES 80000 AMIENS,80000,AMIENS,80,,,,750850422,96.02A
Coiffure,SARL GUEDON & LE ROY (UN GARS & UNE FILLE) (UN GARS & UNE FILLE),2012-03-20,572 COURS DE LA LIBERATION 33400 TALENCE,33400,TALENCE,33,,,,750303117,96.02A
"Entretien corporel (spa, hammam...)",SO SUN,2012-02-02,14 RUE DE LA BASTIDE 95800 CERGY,95800,CERGY,95,,,,539859330,96.04Z
