Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,L'ATELIER DE LA COIFFURE,1996-12-03,MAISON PETTECK CHEMIN DE LA FERRERIE 64520 BIDACHE,64520,BIDACHE,64,,,,410075311,96.02A
Coiffure,XEPHALYS,1996-12-01,LIEUDIT LE VILLAGE 1240 RUE BERNARD CHOCHOY 62380 ESQUERDES,62380,ESQUERDES,62,,,,410263529,96.02A
Coiffure,ZANZARO,1996-11-14,12 BOULEVARD D’ORMESSON 95880 ENGHIEN-LES-BAINS,95880,ENGHIEN-LES-BAINS,95,,,,409420130,96.02A
Soins de beauté / esthétique,ISABELLE LIGNIE (ISABELLE LIGNIE),1996-11-07,8 RUE DES ASTRONAUTES 80100 ABBEVILLE,80100,ABBEVILLE,80,,,,409737038,96.02B
Coiffure,ERIC CASTIGLIONE,1996-10-18,LES GRANDES TERRASSES 83440 TOURRETTES,83440,TOURRETTES,83,,,,409800091,96.02A
Coiffure,BRUNO MINART,1996-10-08,56 RUE DES PYRENEES 75020 PARIS,75020,PARIS,75,,,,409477148,96.02A
Coiffure,JOEL COIFFURE,1996-10-04,116 RUE DE LA 1ERE ARMEE 68800 THANN,68800,THANN,68,,,,409183050,96.02A
"Entretien corporel (spa, hammam...)",ELISABETH GEORGOPOULOS (FREDJ),1996-10-03,257 CHEMIN DES TUILIERES 06220 VALLAURIS,06220,VALLAURIS,06,,,,409552247,96.04Z
Soins de beauté / esthétique,SANDRA OLIVAREZ (KUCZYNSKI),1996-10-01,54 RUE NATIONALE 57190 FLORANGE,57190,FLORANGE,57,,,,409120938,96.02B
"Entretien corporel (spa, hammam...)",KATIA JUSSENHOVEN,1996-09-05,28 RUE ROYALE 74000 ANNECY,74000,ANNECY,74,,,,409091998,96.04Z
"Entretien corporel (spa, hammam...)",MARIE CAMATTE,1996-08-12,RUE VILLAGE VIVA APPT 9 BAT A 97190 LE GOSIER,97190,LE GOSIER,971,,,,409411188,96.04Z
Coiffure,FLORENCE DUTOYA,1996-07-26,FILAOS-NOVOTEL CORALIA L'HERMITAGE 97460 SAINT-PAUL,97460,SAINT-PAUL,974,,,,408452969,96.02A
"Entretien corporel (spa, hammam...)",ELINA MERCADER,1996-07-17,LIEU-DIT BELLEVUE 77370 RAMPILLON,77370,RAMPILLON,77,,,,408767523,96.04Z
"Entretien corporel (spa, hammam...)",FRANCOISE ANDRO (REFLEX'ENERGIE),1996-07-16,57 RUE DE L'EGLISE 50300 SAINT-SENIER-SOUS-AVRANCHES,50300,SAINT-SENIER-SOUS-AVRANCHES,50,,,,408428795,96.04Z
Coiffure,TIBET SARL,1996-07-10,1 AVENUE DE LA MARNE 59290 WASQUEHAL,59290,WASQUEHAL,59,,,,408533396,96.02A
Soins de beauté / esthétique,VIRGINIE POULLIN (VICTOR'S),1996-07-02,9 RUE SAINT GOUSTAN 56730 SAINT-GILDAS-DE-RHUYS,56730,SAINT-GILDAS-DE-RHUYS,56,,,,407987304,96.02B
Coiffure,CARINE REYNAL (BRILLAS),1996-07-01,12 RUE SURCOUF 66430 BOMPAS,66430,BOMPAS,66,,,,407878917,96.02A
Soins de beauté / esthétique,INSTITUT PYRENE,1996-07-01,2 RUE GREFFULHE 75008 PARIS,75008,PARIS,75,,,,408776789,96.02B
Coiffure,DIAG'DIJON (COIFFURE MIXTE),1996-06-07,55 RUE CHABOT CHARNY 21000 DIJON,21000,DIJON,21,,,,407653468,96.02A
"Entretien corporel (spa, hammam...)",JOSETTE CHAMBRELIN,1996-06-02,LA PAIX FAITE 6 ROUTE NATIONALE 39 62170 ATTIN,62170,ATTIN,62,,,,405103706,96.04Z
Coiffure,SARL ALAIN COIFFURE,1996-06-01,510 AVENUE DU TOURING CLUB 40150 SOORTS-HOSSEGOR,40150,SOORTS-HOSSEGOR,40,,,,408629947,96.02A
